alive,height_cm,diameter_mm,case_control,case,canopy_width,canopy_length,canopy_area,bird_species,ant_species
A,123,40.34,0,41,1.17,1.07,0.98,STAR,RRB
A,153.5,45.8,0,41,2.03,1.74,2.79,STAR,RRB
A,199,45.67,0,41,1.36,2.17,2.45,STAR,RRB
A,166,57.61,1,42,2.01,1.69,2.69,STAR,RRB
D,184.5,59.6,0,42,1.76,2.34,3.3,STAR,NONE
A,131,48.78,0,42,1.25,1.29,1.27,STAR,BBR
A,157,35.32,0,42,0.93,1.08,0.79,STAR,RRB
A,143.5,53.98,0,42,1.96,2.04,3.14,STAR,RRB
A,209,61.03,1,43,1.76,1.89,2.61,UNK,RRB
A,155.5,47.6,0,43,1.41,1.46,1.62,UNK,RRB
A,128,42.49,0,43,1.11,0.91,0.8,UNK,RRB
A,130,54.31,0,43,2.11,1.16,2.1,UNK,RRB
A,114.5,23.22,0,43,1.38,1.14,1.25,UNK,RRB
A,234,23.43,1,44,2.65,3,6.26,STAR,RRB
A,132,54.63,0,44,2.06,1.87,3.03,STAR,RRB
A,93,29.14,0,44,0.97,0.8,0.61,STAR,BBR
A,128,31.83,0,44,0.61,0.96,0.48,STAR,BBR
A,119.5,32.33,0,44,0.79,1.16,0.75,STAR,BBR
A,246,67.61,1,45,1.14,2,1.93,STAR,BBR
A,129.5,39.57,0,45,0.93,1.17,0.87,STAR,AB
A,122,54.35,0,45,1.52,1.07,1.32,STAR,AB
D,167,37.38,0,45,1.22,1.71,1.68,STAR,NONE
A,129,48.5,0,45,2.1,2.18,3.59,STAR,RRB
A,212.5,44.28,1,46,0.98,1.16,0.9,UNK,RRB
A,208,56.01,0,46,1.4,1.54,1.7,UNK,RRB
A,213.5,64.12,0,46,2.57,3.56,7.37,UNK,RRB
A,208.5,60.64,0,46,2,2.03,3.19,UNK,NONE
A,158,44.1,0,46,0.95,0.64,0.5,UNK,NONE
A,174.5,59.1,1,47,3,3.4,8.04,STAR,RRB
A,138.5,31.07,0,47,0.99,0.85,0.66,STAR,RRB
D,132.5,33.11,0,47,1.27,1.17,1.17,STAR,NONE
D,101.5,39.43,0,47,1.27,0.92,0.94,STAR,NONE
A,159.5,48.49,0,47,2.17,2,3.41,STAR,RRB
A,248.5,79.48,1,48,2.55,4.04,8.52,STAR,RRB
A,199,51.57,0,48,1.39,1.1,1.22,STAR,RRB
A,112,58.67,0,48,1.72,1.4,1.91,STAR,BBR
A,169,52.14,0,48,2.03,1.53,2.49,STAR,RRB
A,112,37.58,0,48,1.09,1.16,0.99,STAR,BBR
